ECH;Largeur;Famille;Genre;Espèce;Sexe;Espece_Conc;ITD;Size;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur trottoir;date observation;photos;hauteur façade en face;Situation des nids;remarque
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
42;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;10,5;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir;Formulaire
33-1;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-1;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;11,5;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
33-2;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;11,9;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir;Formulaire
G3;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;9,7;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir;Formulaire
G3;2,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;9,7;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir;Formulaire
G3;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;9,7;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir;Formulaire
G3;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;9,7;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir;Formulaire
G3;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;9,7;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir;Formulaire
G3;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;9,7;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir;Formulaire
G4;1,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,3;(Kirby 1802);G. Noël;J. Bonnet;G4;Schaerbeek;Avenue Emile Verhaeren, 49-95;50,874175;4,382072;150;65;3;27.V.2020;15H00;pavés grès;Trottoir;Formulaire
G4;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,3;(Kirby 1802);G. Noël;J. Bonnet;G4;Schaerbeek;Avenue Emile Verhaeren, 49-95;50,874175;4,382072;150;65;3;27.V.2020;15H00;pavés grès;Trottoir;Formulaire
G4;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,3;(Kirby 1802);G. Noël;J. Bonnet;G4;Schaerbeek;Avenue Emile Verhaeren, 49-95;50,874175;4,382072;150;65;3;27.V.2020;15H00;pavés grès;Trottoir;Formulaire
G4;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,3;(Kirby 1802);G. Noël;J. Bonnet;G4;Schaerbeek;Avenue Emile Verhaeren, 49-95;50,874175;4,382072;150;65;3;27.V.2020;15H00;pavés grès;Trottoir;Formulaire
G4;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,3;(Kirby 1802);G. Noël;J. Bonnet;G4;Schaerbeek;Avenue Emile Verhaeren, 49-95;50,874175;4,382072;150;65;3;27.V.2020;15H00;pavés grès;Trottoir;Formulaire
G4;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,2;11,3;(Kirby 1802);G. Noël;J. Bonnet;G4;Schaerbeek;Avenue Emile Verhaeren, 49-95;50,874175;4,382072;150;65;3;27.V.2020;15H00;pavés grès;Trottoir;Formulaire
G7;0,4;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,4;11,9;(Kirby 1802);G. Noël;J. Bonnet;G7;Saint-Gilles;Avenue Jef Lambeaux, 32-40;50,823004;4,346454;50;30;2,5;28.V.2020;15H00;pavés grès;Pas de maison_Trottoir;Formulaire
G7;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,4;11,9;(Kirby 1802);G. Noël;J. Bonnet;G7;Saint-Gilles;Avenue Jef Lambeaux, 32-40;50,823004;4,346454;50;30;2,5;28.V.2020;15H00;pavés grès;Pas de maison_Trottoir;Formulaire
G7;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,4;11,9;(Kirby 1802);G. Noël;J. Bonnet;G7;Saint-Gilles;Avenue Jef Lambeaux, 32-40;50,823004;4,346454;50;30;2,5;28.V.2020;15H00;pavés grès;Pas de maison_Trottoir;Formulaire
G7;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,4;11,9;(Kirby 1802);G. Noël;J. Bonnet;G7;Saint-Gilles;Avenue Jef Lambeaux, 32-40;50,823004;4,346454;50;30;2,5;28.V.2020;15H00;pavés grès;Pas de maison_Trottoir;Formulaire
G7;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,4;11,9;(Kirby 1802);G. Noël;J. Bonnet;G7;Saint-Gilles;Avenue Jef Lambeaux, 32-40;50,823004;4,346454;50;30;2,5;28.V.2020;15H00;pavés grès;Pas de maison_Trottoir;Formulaire
G7;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,4;11,9;(Kirby 1802);G. Noël;J. Bonnet;G7;Saint-Gilles;Avenue Jef Lambeaux, 32-40;50,823004;4,346454;50;30;2,5;28.V.2020;15H00;pavés grès;Pas de maison_Trottoir;Formulaire
G8;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;11,3;(Kirby 1802);G. Noël;J. Bonnet;G8;Bruxelles;Rue Kindermans, 3;50,823067;4,36609;30;8;2;28.V.2020;16H00;dalles béton;Trottoir;Formulaire
G8;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;11,3;(Kirby 1802);G. Noël;J. Bonnet;G8;Bruxelles;Rue Kindermans, 3;50,823067;4,36609;30;8;2;28.V.2020;16H00;dalles béton;Trottoir;Formulaire
G8;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;11,3;(Kirby 1802);G. Noël;J. Bonnet;G8;Bruxelles;Rue Kindermans, 3;50,823067;4,36609;30;8;2;28.V.2020;16H00;dalles béton;Trottoir;Formulaire
G8;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;11,3;(Kirby 1802);G. Noël;J. Bonnet;G8;Bruxelles;Rue Kindermans, 3;50,823067;4,36609;30;8;2;28.V.2020;16H00;dalles béton;Trottoir;Formulaire
G8;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;11,3;(Kirby 1802);G. Noël;J. Bonnet;G8;Bruxelles;Rue Kindermans, 3;50,823067;4,36609;30;8;2;28.V.2020;16H00;dalles béton;Trottoir;Formulaire
G8;2,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;11,3;(Kirby 1802);G. Noël;J. Bonnet;G8;Bruxelles;Rue Kindermans, 3;50,823067;4,36609;30;8;2;28.V.2020;16H00;dalles béton;Trottoir;Formulaire
V2;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,3;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V2;Ixelles;Rue Washington, 198-202, présent sur toute la rue ;50,8190362;4,3631752;300;1;3;05.V.2020;14H00;pavés grès;Trottoir;Formulaire
V2;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,3;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V2;Ixelles;Rue Washington, 198-202, présent sur toute la rue ;50,8190362;4,3631752;300;1;3;05.V.2020;14H00;pavés grès;Trottoir;Formulaire
V2;1,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,3;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V2;Ixelles;Rue Washington, 198-202, présent sur toute la rue ;50,8190362;4,3631752;300;1;3;05.V.2020;14H00;pavés grès;Trottoir;Formulaire
V2;2,2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,3;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V2;Ixelles;Rue Washington, 198-202, présent sur toute la rue ;50,8190362;4,3631752;300;1;3;05.V.2020;14H00;pavés grès;Trottoir;Formulaire
V2;2,1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,3;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V2;Ixelles;Rue Washington, 198-202, présent sur toute la rue ;50,8190362;4,3631752;300;1;3;05.V.2020;14H00;pavés grès;Trottoir;Formulaire
V2;1,2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,3;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V2;Ixelles;Rue Washington, 198-202, présent sur toute la rue ;50,8190362;4,3631752;300;1;3;05.V.2020;14H00;pavés grès;Trottoir;Formulaire
V3;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;10,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V3;Ixelles;Rue Dautzenberg, 66-70, présent sur toute la rue;50,8261312;4,3669257;350;2;2,5;08.V.2020;11H30;pavés grès;Trottoir;Formulaire
V3;2,1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;10,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V3;Ixelles;Rue Dautzenberg, 66-70, présent sur toute la rue;50,8261312;4,3669257;350;2;2,5;08.V.2020;11H30;pavés grès;Trottoir;Formulaire
V3;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;10,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V3;Ixelles;Rue Dautzenberg, 66-70, présent sur toute la rue;50,8261312;4,3669257;350;2;2,5;08.V.2020;11H30;pavés grès;Trottoir;Formulaire
V3;0,9;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;10,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V3;Ixelles;Rue Dautzenberg, 66-70, présent sur toute la rue;50,8261312;4,3669257;350;2;2,5;08.V.2020;11H30;pavés grès;Trottoir;Formulaire
V3;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;10,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V3;Ixelles;Rue Dautzenberg, 66-70, présent sur toute la rue;50,8261312;4,3669257;350;2;2,5;08.V.2020;11H30;pavés grès;Trottoir;Formulaire
V3;1,2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;10,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V3;Ixelles;Rue Dautzenberg, 66-70, présent sur toute la rue;50,8261312;4,3669257;350;2;2,5;08.V.2020;11H30;pavés grès;Trottoir;Formulaire
V5;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,5;12,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V5;Uccle;Avenue du lycée français 5, 5a;50,7893569;4,3444865;200;3,2;2,5;21.V.2020;13H30;pavés béton carrés;trottoir_pas d'escalier;Formulaire
V5;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,5;12,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V5;Uccle;Avenue du lycée français 5, 5a;50,7893569;4,3444865;200;3,2;2,5;21.V.2020;13H30;pavés béton carrés;trottoir_pas d'escalier;Formulaire
V5;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,5;12,4;(Kirby 1802);V. Van Keymeulen;J. Bonnet;V5;Uccle;Avenue du lycée français 5, 5a;50,7893569;4,3444865;200;3,2;2,5;21.V.2020;13H30;pavés béton carrés;trottoir_pas d'escalier;Formulaire
41;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,5;(Kirby 1802);G. Noël;J. Bonnet;41;Saint-Gilles;Place Louis Morichar en face du 38-39;50,8265883;4,3481797;10;2;1;06.V.2020;13h00;;Trottoir;Contact personnel
41;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,5;(Kirby 1802);G. Noël;J. Bonnet;41;Saint-Gilles;Place Louis Morichar en face du 38-39;50,8265883;4,3481797;10;2;1;06.V.2020;13h00;;Trottoir;Contact personnel
41;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,5;(Kirby 1802);G. Noël;J. Bonnet;41;Saint-Gilles;Place Louis Morichar en face du 38-39;50,8265883;4,3481797;10;2;1;06.V.2020;13h00;;Trottoir;Contact personnel
41;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,5;(Kirby 1802);G. Noël;J. Bonnet;41;Saint-Gilles;Place Louis Morichar en face du 38-39;50,8265883;4,3481797;10;2;1;06.V.2020;13h00;;Trottoir;Contact personnel
41;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,5;(Kirby 1802);G. Noël;J. Bonnet;41;Saint-Gilles;Place Louis Morichar en face du 38-39;50,8265883;4,3481797;10;2;1;06.V.2020;13h00;;Trottoir;Contact personnel
13;0,8;Andrenidae;Andrena;vaga;female;Andrena_vaga;3,8;14,8;Panzer 1799;G. Noël;G. Noël;13;Uccle;Avenue Bonaparte, 69;50,7862911;4,3623205;50;6;;11.IV.2020;16h00;Dalles béton;Trottoir_Talus;Site_Pot
13;0,6;Andrenidae;Andrena;vaga;female;Andrena_vaga;3,8;14,8;Panzer 1799;G. Noël;G. Noël;13;Uccle;Avenue Bonaparte, 69;50,7862911;4,3623205;50;6;;11.IV.2020;16h00;Dalles béton;Trottoir_Talus;Site_Pot
13;0,7;Andrenidae;Andrena;vaga;female;Andrena_vaga;3,8;14,8;Panzer 1799;G. Noël;G. Noël;13;Uccle;Avenue Bonaparte, 69;50,7862911;4,3623205;50;6;;11.IV.2020;16h00;Dalles béton;Trottoir_Talus;Site_Pot
G1;1;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;4,3;13,6;(Linneaus 1758);G. Noël;G. Noël;G1;Watermael-Boitsfort;Rue de l'abreuvoir 2-10 en jonction avec Avenue Jagersveld 7-13;50,796779;4,415359;150;100;2;26.V.2020;15H00;dalles béton;Trottoir_Rue;Formulaire
G1;1,5;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;4,3;13,6;(Linneaus 1758);G. Noël;G. Noël;G1;Watermael-Boitsfort;Rue de l'abreuvoir 2-10 en jonction avec Avenue Jagersveld 7-13;50,796779;4,415359;150;100;2;26.V.2020;15H00;dalles béton;Trottoir_Rue;Formulaire
G1;1,3;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;4,3;13,6;(Linneaus 1758);G. Noël;G. Noël;G1;Watermael-Boitsfort;Rue de l'abreuvoir 2-10 en jonction avec Avenue Jagersveld 7-13;50,796779;4,415359;150;100;2;26.V.2020;15H00;dalles béton;Trottoir_Rue;Formulaire
G1;1,3;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;4,3;13,6;(Linneaus 1758);G. Noël;G. Noël;G1;Watermael-Boitsfort;Rue de l'abreuvoir 2-10 en jonction avec Avenue Jagersveld 7-13;50,796779;4,415359;150;100;2;26.V.2020;15H00;dalles béton;Trottoir_Rue;Formulaire
G1;2,4;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;4,3;13,6;(Linneaus 1758);G. Noël;G. Noël;G1;Watermael-Boitsfort;Rue de l'abreuvoir 2-10 en jonction avec Avenue Jagersveld 7-13;50,796779;4,415359;150;100;2;26.V.2020;15H00;dalles béton;Trottoir_Rue;Formulaire
G1;2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;4,3;13,6;(Linneaus 1758);G. Noël;G. Noël;G1;Watermael-Boitsfort;Rue de l'abreuvoir 2-10 en jonction avec Avenue Jagersveld 7-13;50,796779;4,415359;150;100;2;26.V.2020;15H00;dalles béton;Trottoir_Rue;Formulaire
G2;0,5;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,7;14;(Linneaus 1758);G. Noël;G. Noël;G2;Woluwé-Saint-Lambert;Rue Abbé Jean Heyman, entrée de l'école Princesse Paola;50,8496;4,426647;200;40;5;26.V.2020;16H00;dalles béton;Trottoir;Formulaire
G2;1,3;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,7;14;(Linneaus 1758);G. Noël;G. Noël;G2;Woluwé-Saint-Lambert;Rue Abbé Jean Heyman, entrée de l'école Princesse Paola;50,8496;4,426647;200;40;5;26.V.2020;16H00;dalles béton;Trottoir;Formulaire
